Name,IATA,ICAO,Callsign,Country,Active
AirAsia X,D7,XAX,XANADU,Malaysia,Y
FlyLal,TE,LIL,LITHUANIA AIR,Lithuania,Y
FlyNordic,LF,NDC,NORDIC,Sweden,Y
Flybaboo,F7,BBO,BABOO,Switzerland,Y
Flybe,BE,BEE,JERSEY,United Kingdom,Y
Flyglobespan,B4,GSM,GLOBESPAN,United Kingdom,Y
Formosa Airlines,VY,FOS,,Taiwan,Y
Four Star Aviation / Four Star Cargo,HK,FSC,FOUR STAR,United States,N
Freedom Air,FP,FRE,FREEDOM,United States,Y
Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States,Y
Frontier Flying Service,2F,FTA,FRONTIER-AIR,United States,Y
Futura International Airways,FH,FUA,FUTURA,Spain,N
GB Airways,GT,GBL,GEEBEE AIRWAYS,United Kingdom,Y
Galaxy Air,7O,GAL,GALAXY,Kyrgyzstan,N
Gambia International Airlines,GC,GNR,GAMBIA INTERNATIONAL,Gambia,N
Gandalf Airlines,G7,GNF,Gandalf,Italy,N
Garuda Indonesia,GA,GIA,INDONESIA,Indonesia,Y
Gazpromavia,4G,GZP,GAZPROMAVIA,Russia,Y
Gemini Air Cargo,GR,GCO,GEMINI,United States,N
Georgian Airways,A9,TGZ,TAMAZI,Georgia,Y
Georgian National Airlines,QB,GFG,NATIONAL,Georgia,Y
Germania,ST,GMI,GERMANIA,Germany,Y
Germanwings,4U,GWI,GERMAN WINGS,Germany,Y
Gestair,GP,GES,GESTAIR,Spain,N
Ghana International Airlines,G0,GHB,GHANA AIRLINES,Ghana,Y
Go Air,G8,GOW,GOAIR,India,Y
GoJet Airlines,G7,GJS,GATEWAY,United States,Y
Gol Transportes Aéreos,G3,GLO,GOL TRANSPORTE,Brazil,Y
Golden Air,DC,GAO,GOLDEN,Sweden,Y
Gorkha Airlines,G1,IKA,GORKHA AIRLINES,Nepal,N
Grant Aviation,GS,GUN,HOOT,United States,N
Great Lakes Airlines,ZK,GLA,LAKES AIR,United States,Y
Great Wall Airlines,IJ,GWL,GREAT WALL,China,N
Grupo TACA,TA,TAT,TACA-COSTARICA,Costa Rica,Y
Guine Bissaur Airlines,G6,BSR,BISSAU AIRLINES,Guinea-Bissau,N
Guinee Airlines,J9,GIF,GUINEE AIRLINES,Guinea,N
Gujarat Airways,G8,GUJ,GUJARATAIR,India,N
Gulf Air Bahrain,GF,GBA,GULF BAHRAIN,Bahrain,Y
Hageland Aviation Services,H6,HAG,HAGELAND,United States,Y
Hahn Air,HR,HHN,ROOSTER,Germany,N
Hainan Airlines,HU,CHH,HAINAN,China,Y
Haiti Ambassador Airlines,2T,HAM,,Haiti,Y
Hamburg International,4R,HHI,HAMBURG JET,Germany,Y
TUIfly,X3,HLX,YELLOW CAB,Germany,Y
Hapagfly,HF,HLF,HAPAG LLOYD,Germany,Y
Harbor Airlines,HB,HAR,HARBOR,United States,N
Harmony Airways,HQ,HMY,HARMONY,Canada,N
Hawaiian Airlines,HA,HAL,HAWAIIAN,United States,Y
Heavylift Cargo Airlines,HN,HVY,HEAVY CARGO,Australia,N
Heli France,8H,HFR,HELIFRANCE,France,Y
Helijet,JB,JBA,HELIJET,Canada,Y
Helios Airways,ZU,HCY,HELIOS,Cyprus,N
Hellas Jet,T4,HEJ,HELLAS JET,Greece,Y
Hello,HW,FHE,FLYHELLO,Switzerland,Y
Helvetic Airways,2L,OAW,HELVETIC,Switzerland,Y
Hemus Air,DU,HMS,HEMUS AIR,Bulgaria,N
Hewa Bora Airways,EO,ALX,ALLCONGO,Democratic Republic of the Congo,N
Hex'Air,UD,HER,HEX AIRLINE,France,Y
Hi Fly,5K,HFY,SKY FLYER,Portugal,N
Hokkaido International Airlines,HD,ADO,AIR DO,Japan,Y
Hola Airlines,H5,HOA,HOLA,Spain,N
Hong Kong Airlines,HX,CRK,BAUHINIA,Hong Kong SAR of China,Y
Hong Kong Express Airways,UO,HKE,HONGKONG SHUTTLE,Hong Kong SAR of China,Y
Horizon Air,QX,QXE,HORIZON AIR,United States,Y
Horizon Airlines,BN,HZA,,Australia,Y
IBC Airways,II,CSQ,CHASQUI,United States,N
Iberia Airlines,IB,IBE,IBERIA,Spain,Y
Iberworld,TY,IWD,,Spain,Y
Ibex Airlines,FW,IBX,IBEX,Japan,Y
Icelandair,FI,ICE,ICEAIR,Iceland,Y
Imair Airlines,IK,ITX,IMPROTEX,Azerbaijan,Y
Independence Air,DH,IDE,INDEPENDENCE AIR,United States,N
IndiGo Airlines,6E,IGO,IFLY,India,Y
Indian Airlines,IC,IAC,INDAIR,India,Y
Indigo,I9,IBU,INDIGO BLUE,United States,Y
Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia,Y
Indonesian Airlines,IO,IAA,INDO LINES,Indonesia,Y
InteliJet Airways,IJ,IJT,INTELIJET,Colombia,N
Inter Islands Airlines,H4,IIN,,Cape Verde,N
Interair South Africa,D6,ILN,INLINE,South Africa,Y
Interavia Airlines,ZA,SUW,ASTAIR,Russia,Y
Intercontinental de Aviaci,RS,ICT,CONTAVIA,Colombia,N
Interlink Airlines,ID,ITK,INTERLINK,South Africa,Y
International Business Air,6I,IBZ,INTERBIZ,Sweden,N
Intersky,3L,ISK,INTERSKY,Austria,Y
Interstate Airline,I4,FWA,FREEWAYAIR,Netherlands,N
Iran Air,IR,IRA,IRANAIR,Iran,Y
Iran Aseman Airlines,EP,IRC,,Iran,Y
Iraqi Airways,IA,IAW,IRAQI,Iraq,Y
Island Express,2S,SDY,SANDY ISLE,United States,N
Cargo Plus Aviation,8L,CGP,,United Arab Emirates,Y
Islas Airways,IF,ISW,PINTADERA,Spain,Y
Islena De Inversiones,WC,ISV,,Honduras,Y
Israir,6H,ISR,ISRAIR,Israel,Y
Itali Airlines,9X,ACL,ITALI,Italy,N
Itek Air,GI,IKA,ITEK-AIR,Kyrgyzstan,Y
Izair,H9,IZM,IZMIR,Turkey,N
JAL Express,JC,JEX,JANEX,Japan,Y
JALways,JO,JAZ,JALWAYS,Japan,Y
Japan Airlines,JL,JAL,JAPANAIR,Japan,Y
Japan Airlines Domestic,JL,JAL,J-BIRD,Japan,Y
Japan Asia Airways,EG,JAA,ASIA,Japan,Y
Japan Transocean Air,NU,JTA,JAI OCEAN,Japan,Y
Jat Airways,JU,JAT,JAT,Serbia,N
Jatayu Airlines,VJ,JTY,JATAYU,Indonesia,N
Jazeera Airways,J9,JZR,JAZEERA,Kuwait,Y
Jeju Air,7C,JJA,JEJU AIR,Republic of Korea,Y
Jet Airways,9W,JAI,JET AIRWAYS,India,Y
Jetstar Asia Airways,3K,JSA,JETSTAR ASIA,Singapore,Y
Jet2.com,LS,EXS,CHANNEX,United Kingdom,Y
Jet4You,8J,JFU,ARGAN,Morocco,Y
JetBlue Airways,B6,JBU,JETBLUE,United States,Y
Jetairfly,JF,JAF,BEAUTY,Belgium,Y
Jetclub,0J,JCS,JETCLUB,Switzerland,N
JetsGo,SG,JGO,JETSGO,Canada,N
Jetstar Airways,JQ,JST,JETSTAR,Australia,Y
Jett8 Airlines Cargo,JX,JEC,,Singapore,N
Jetx Airlines,GX,JXX,JETBIRD,Iceland,N
Jordan Aviation,R5,JAV,JORDAN AVIATION,Jordan,N
Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China,Y
KD Avia,KD,KNI,KALININGRAD AIR,Russia,Y
KLM Cityhopper,WA,KLC,CITY,Netherlands,Y
KLM Royal Dutch Airlines,KL,KLM,KLM,Netherlands,Y
Kabo Air,N2,QNK,KABO,Nigeria,N
Kalitta Air,K4,CKS,CONNIE,United States,N
Kam Air,RQ,KMF,KAMGAR,Afghanistan,Y
Kampuchea Airlines,E2,KMP,KAMPUCHEA,Cambodia,N
Karat,V2,AKT,AVIAKARAT,Russia,N
Kavminvodyavia,KV,MVD,AIR MINVODY,Russia,Y
Kenmore Air,M5,KEN,KENMORE,United States,Y
Kenya Airways,KQ,KQA,KENYA,Kenya,Y
Keystone Air Services,BZ,KEE,KEYSTONE,Canada,N
Kingfisher Airlines,IT,KFR,KINGFISHER,India,Y
Kish Air,Y9,IRK,KISHAIR,Iran,Y
Kiwi International Air Lines,KP,KIA,KIWI AIR,United States,N
Kogalymavia Air Company,7K,KGL,KOGALYM,Russia,Y
Komiinteravia,8J,KMV,KOMIINTER,Russia,N
Korean Air,KE,KAL,KOREANAIR,Republic of Korea,Y
Krasnojarsky Airlines,7B,KJC,KRASNOJARSKY AIR,Russia,Y
Krylo Airlines,K9,KRI,Krylo,Russia,N
Kuban Airlines,GW,KIL,AIR KUBAN,Russia,Y
Kunpeng Airlines,VD,KPA,KUNPENG,China,N
Kuwait Airways,KU,KAC,KUWAITI,Kuwait,Y
Kuzu Airlines Cargo,GO,KZU,KUZU CARGO,Turkey,Y
Kyrgyz Airlines,N5,KGZ,BERMET,Kyrgyzstan,N
Kyrgyzstan,QH,LYN,ALTYN AVIA,Kyrgyzstan,N
Kyrgyzstan Airlines,R8,KGA,KYRGYZ,Kyrgyzstan,N
Kibris T,KY,KYV,AIRKIBRIS,Turkey,N
L.A.B. Flying Service,JF,LAB,LAB,United States,N
LACSA,LR,LRC,LACSA,Costa Rica,Y
LAI - Linea Aerea IAACA,KG,BNX,AIR BARINAS,Venezuela,N
LAN Airlines,LA,LAN,LAN,Chile,Y
LAN Argentina,4M,DSM,LAN AR,Argentina,Y
LAN Express,LU,LXP,LANEX,Chile,Y
LAN Peru,LP,LPE,LANPERU,Peru,Y
LOT Polish Airlines,LO,LOT,POLLOT,Poland,Y
LTE International Airways,XO,LTE,FUN JET,Spain,Y
LTU Austria,L3,LTO,BILLA TRANSPORT,Austria,Y
LTU International,LT,LTU,LTU,Germany,N
Lagun Air,N6,JEV,,Spain,N
Lankair,IK,LKN,Lankair,Sri Lanka,N
Lao Airlines,QV,LAO,LAO,Lao Peoples Democratic Republic,Y
Laoag International Airlines,L7,LPN,LAOAG AIR,Philippines,N
Lauda Air,NG,LDA,LAUDA AIR,Austria,Y
Lebanese Air Transport,LQ,LAQ,LAT,Lebanon,N
Leeward Islands Air Transport,LI,LIA,LIAT,Antigua and Barbuda,Y
Libyan Arab Airlines,LN,LAA,LIBAIR,Libya,Y
Linea Aerea SAPSA,L7,LNP,SAPSA,Chile,N
Linea Aerea de Servicio Ejecutivo Regional,8z,LER,LASER,Venezuela,N
Linea Turistica Aerotuy,LD,TUY,AEREOTUY,Venezuela,N
Lineas Aereas Azteca,ZE,LCD,LINEAS AZTECA,Mexico,N
Linhas A,LM,LAM,MOZAMBIQUE,Mozambique,Y
Lion Mentari Airlines,JT,LNI,LION INTER,Indonesia,Y
Livingston,LM,LVG,LIVINGSTON,Italy,N
Lloyd Aereo Boliviano,LB,LLB,LLOYDAEREO,Bolivia,N
Luftfahrtgesellschaft Walter,HE,LGW,WALTER,Germany,Y
Lufthansa,LH,DLH,LUFTHANSA,Germany,Y
Lufthansa Cargo,LH,GEC,LUFTHANSA CARGO,Germany,Y
Lufthansa CityLine,CL,CLH,HANSALINE,Germany,Y
Lufttaxi Fluggesellschaft,DV,LTF,Garfield,Germany,N
Lufttransport,L5,LTR,LUFT TRANSPORT,Norway,Y
Luxair,LG,LGL,LUXAIR,Luxembourg,Y
Lviv Airlines,5V,UKW,UKRAINE WEST,Ukraine,N
Lynden Air Cargo,L2,LYC,LYNDEN,United States,N
L,MJ,LPR,LAPA,Argentina,Y
MasAir,M7,MAA,MAS CARGA,Mexico,Y
MAT Macedonian Airlines,IN,MAK,MAKAVIO,Macedonia,Y
MIAT Mongolian Airlines,OM,MGL,MONGOL AIR,Mongolia,Y
MNG Airlines,MB,MNB,BLACK SEA,Turkey,Y
Macair Airlines,CC,MCK,,Australia,Y
Mahan Air,W5,IRM,MAHAN AIR,Iran,Y
Mahfooz Aviation,M2,MZS,MAHFOOZ,Gambia,N
Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia,Y
Malmö Aviation,TF,SCW,Scanwings,Sweden,Y
Malta Air Charter,R5,MAC,MALTA CHARTER,Malta,Y
Malév,MA,MAH,MALEV,Hungary,Y
Mandala Airlines,RI,MDL,MANDALA,Indonesia,Y
Mandarin Airlines,AE,MDA,Mandarin,Taiwan,Y
Mango,JE,MNO,TULCA,South Africa,Y
Mars RK,6V,MRW,AVIAMARS,Ukraine,N
Marsland Aviation,M7,MSL,MARSLANDAIR,Sudan,N
Martinair,MP,MPH,MARTINAIR,Netherlands,Y
Mavial Magadan Airlines,H5,MVL,Mavial,Russia,N
Maxair,8M,MXL,MAXAIR,Sweden,Y
Maxjet Airways,MY,MXJ,MAX-JET,United States,N
Maya Island Air,MW,MYD,MYLAND,Belize,Y
Menajet,IM,MNJ,MENAJET,Lebanon,N
Meridiana,IG,ISS,MERAIR,Italy,Y
Merpati Nusantara Airlines,MZ,MNA,MERPATI,Indonesia,Y
Mesa Airlines,YV,ASH,AIR SHUTTLE,United States,Y
Mesaba Airlines,XJ,MES,MESABA,United States,Y
Mexicana de Aviaci,MX,MXA,MEXICANA,Mexico,Y
Miami Air International,GL,BSK,BISCAYNE,United States,N
Middle East Airlines,ME,MEA,CEDAR JET,Lebanon,Y
Midway Airlines,JI,MDW,MIDWAY,United States,Y
Midwest Airlines,YX,MEP,,United States,Y
Midwest Airlines (Egypt),MY,MWA,,Egypt,Y
Moldavian Airlines,2M,MDV,MOLDAVIAN,Moldova,Y
Monarch Airlines,ZB,MON,MONARCH,United Kingdom,Y
Montenegro Airlines,YM,MGX,MONTAIR,Montenegro,Y
Moskovia Airlines,3R,GAI,GROMOV AIRLINE,Russia,Y
Motor Sich,M9,MSI,MOTOR SICH,Ukraine,Y
Mount Cook Airlines,NM,NZM,MOUNTCOOK,New Zealand,N
Mountain Air Company,N4,MTC,MOUNTAIN LEONE,Sierra Leone,N
MyTravel Airways,VZ,MYT,KESTREL,United Kingdom,Y
Myanma Airways,UB,UBA,UNIONAIR,Myanmar,Y
Myanmar Airways International,8M,MMM,assignment postponed,Myanmar,Y
Nantucket Airlines,DV,ACK,ACK AIR,United States,N
Nasair,UE,NAS,NASAIRWAYS,Eritrea,Y
National Airlines,N4,NCN,,Chile,N
National Airlines,N7,ROK,RED ROCK,United States,N
National Jet Systems,NC,NJS,NATIONAL JET,Australia,Y
Nationwide Airlines,CE,NTW,NATIONWIDE,South Africa,Y
Nauru Air Corporation,ON,RON,AIR NAURU,Nauru,Y
Nepal Airlines,RA,RNA,ROYAL NEPAL,Nepal,Y
Neos,NO,NOS,MOONFLOWER,Italy,N
NetJets,1I,EJA,EXECJET,United States,Y
New England Airlines,EJ,NEA,NEW ENGLAND,United States,Y
NextJet,2N,NTJ,NEXTJET,Sweden,Y
Niki,HG,NLY,FLYNIKI,Austria,Y
Nippon Cargo Airlines,KZ,NCA,NIPPON CARGO,Japan,N
Nok Air,DD,NOK,NOK AIR,Thailand,Y
Nordeste Linhas Aereas Regionais,JH,NES,NORDESTE,Brazil,N
Nordic Regional,6N,NRD,NORTH RIDER,Sweden,N
North Flying,M3,NFA,NORTH FLYING,Denmark,N
North-Wright Airways,HW,NWL,NORTHWRIGHT,Canada,N
Northern Air Cargo,NC,NAC,YUKON,United States,N
Northwest Airlines,NW,NWA,NORTHWEST,United States,Y
Northwest Regional Airlines,FY,NWR,,Australia,N
Northwestern Air,J3,PLR,POLARIS,Canada,Y
Norwegian Air Shuttle,DY,NAX,NOR SHUTTLE,Norway,Y
Nouvel Air Tunisie,BJ,LBT,NOUVELAIR,Tunisia,Y
Nova Airline,M4,NOV,NOVANILE,Sudan,N
Novair,1I,NVR,NAVIGATOR,Sweden,Y
Nuevo Continente,N6,ACQ,AERO CONTINENTE,Peru,N
Nas Air,XY,KNE,NAS EXPRESS,Saudi Arabia,Y
O'Connor Airlines,UQ,OCM,OCONNOR,Australia,N
Oasis Hong Kong Airlines,O8,OHK,OASIS,Hong Kong,Y
Ocean Airlines,VC,VCX,OCEANCARGO,Italy,N
Oceanair,O6,ONE,OCEANAIR,Brazil,Y
Olympic Airlines,OA,OAL,OLYMPIC,Greece,Y
Oman Air,WY,OMA,OMAN AIR,Oman,Y
Omni Air International,OY,OAE,OMNI-EXPRESS,United States,Y
Omskavia Airline,N3,OMS,OMSK,Russia,N
Onur Air,8Q,OHY,ONUR AIR,Turkey,Y
Orenburg Airlines,R2,ORB,ORENBURG,Russia,Y
Orient Thai Airlines,OX,OEA,ORIENT THAI,Thailand,Y
Origin Pacific Airways,QO,OGN,ORIGIN,New Zealand,Y
Ostfriesische Lufttransport,OL,OLT,OLTRA,Germany,Y
Our Airline,ON,RON,OUR AIRLINE,Nauru,N
Overland Airways,OJ,OLA,OVERLAND,Nigeria,Y
Ozark Air Lines,OZ,OZR,OZARK,United States,N
Ozjet Airlines,O7,OZJ,AUSJET,Australia,Y
PAN Air,PV,PNR,SKYJET,Spain,Y
PB Air,9Q,PBA,PEEBEE AIR,Thailand,Y
PLUNA,PU,PUA,PLUNA,Uruguay,Y
PMTair,U4,PMT,MULTITRADE,Cambodia,Y
Pace Airlines,Y5,PCE,PACE,United States,N
Jetstar Pacific,BL,PIC,PACIFIC AIRLINES,Vietnam,Y
Pacific Blue,DJ,PBN,BLUEBIRD,New Zealand,N
Pacific Coastal Airline,8P,PCO,PASCO,Canada,Y
Pacific East Asia Cargo Airlines,Q8,PEC,PAC-EAST CARGO,Philippines,Y
Pacific Southwest Airlines,PS,PSX,SMILEY,United States,N
Pacific Wings,LW,NMI,TSUNAMI,United States,Y
Pakistan International Airlines,PK,PIA,PAKISTAN,Pakistan,Y
Palau Trans Pacific Airline,GP,PTP,TRANS PACIFIC,Palau,N
Palestinian Airlines,PF,PNW,PALESTINIAN,Egypt,N
Pamir Airways,NR,PIR,PAMIR,Afghanistan,N
Pan American Airways,PA,PAA,,United States,N
Pan American World Airways,PA,PAA,CLIPPER,United States,N
Panafrican Airways,PQ,PNF,PANWAYS,Ivory Coast,N
Pantanal Linhas Aéreas,P8,PTN,PANTANAL,Brazil,N
Paramount Airways,I7,PMW,PARAWAY,India,Y
Pearl Airways,HP,HPA,PEARL AIRWAYS,Haiti,N
Pegasus Airlines,PC,PGT,SUNTURK,Turkey,Y
Peninsula Airways,KS,PEN,PENINSULA,United States,Y
Perm Airlines,P9,PGP,PERM AIR,Russia,N
Philippine Airlines,PR,PAL,PHILIPPINE,Philippines,Y
Phuket Air,9R,VAP,PHUKET AIR,Thailand,N
Piedmont Airlines (1948-1989),PI,PDT,PIEDMONT,United States,Y
Pinnacle Airlines,9E,FLG,FLAGSHIP,United States,Y
Polar Air Cargo,PO,PAC,POLAR,United States,N
Polynesian Airlines,PH,PAO,POLYNESIAN,Samoa,Y
Polynesian Blue,DJ,PLB,POLYBLUE,New Zealand,N
Porter Airlines,PD,POE,PORTER AIR,Canada,Y
Portugalia,NI,PGA,PORTUGALIA,Portugal,Y
Potomac Air,BK,PDC,DISTRICT,United States,Y
Precision Air,PW,PRF,PRECISION AIR,Tanzania,Y
President Airlines,TO,PSD,,Cambodia,N
Primaris Airlines,FE,WCP,WHITECAP,United States,N
Private Wings Flugcharter,8W,PWF,PRIVATE WINGS,Germany,N
Qantas,QF,QFA,QANTAS,Australia,Y
Qatar Airways,QR,QTR,QATARI,Qatar,Y
Redhill Aviation,8L,RHC,REDAIR,United Kingdom,N
Reem Air,V4,REK,REEM AIR,Kyrgyzstan,N
Regional Express,ZL,RXA,REX,Australia,Y
RegionsAir,3C,CEA,CORP-X,United States,N
Reno Air,QQ,ROA,RENO AIR,United States,N
Republic Airlines,RW,RPA,BRICKYARD,United States,Y
Republic Express Airlines,RH,RPH,PUBLIC EXPRESS,Indonesia,Y
Rico Linhas A,C7,RLE,RICO,Brazil,N
Rio Grande Air,E2,GRN,GRANDE,United States,N
Rio Sul Servi,SL,RSL,RIO SUL,Brazil,N
Air Rarotonga,GZ,RAR,,Cook Islands,Y
Royal Air Force,RR,RFR,RAFAIR,United Kingdom,N
Royal Air Force of Oman,RS,MJN,MAJAN,Oman,N
Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco,Y
Royal Airlines,R0,RPK,ROYAL PAKISTAN,Pakistan,N
Royal Aruban Airline,V5,RYL,ROYAL ARUBAN,Aruba,N
Royal Brunei Airlines,BI,RBA,BRUNEI,Brunei,Y
Royal Jordanian,RJ,RJA,JORDANIAN,Jordan,Y
Royal Khmer Airlines,RK,RKH,KHMER AIR,Cambodia,N
Royal Nepal Airlines,RA,RNA,ROYAL NEPAL,Nepal,Y
Royal Tongan Airlines,WR,HRH,TONGA ROYAL,Tonga,N
Russian Sky Airlines,P7,ESL,RADUGA,Russia,N
Rwandair Express,WB,RWD,RWANDAIR,Rwanda,Y
Ryan International Airlines,RD,RYN,RYAN INTERNATIONAL,United States,Y
Ryanair,FR,RYR,RYANAIR,Ireland,Y
Régional,YS,RAE,REGIONAL EUROPE,France,Y
SATA International,S4,RZO,AIR AZORES,Portugal,Y
South African Airways,SA,SAA,SPRINGBOK,South Africa,Y
Shaheen Air International,NL,SAI,SHAHEEN AIR,Pakistan,Y
Scandinavian Airlines System,SK,SAS,SCANDINAVIAN,Sweden,Y
S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia,Y
Seaborne Airlines,BB,SBS,SEABORNE,United States,Y
SriLankan Airlines,UL,ALK,SRILANKAN,Sri Lanka,Y
Sun Country Airlines,SY,SCX,SUN COUNTRY,United States,Y
Sky Express,G3,SEH,AIR CRETE,Greece,Y
Spicejet,SG,SEJ,SPICEJET,India,Y
Sky Eyes,I6,SEQ,SKY EYES,Thailand,N
SAETA,EH,SET,SAETA,Ecuador,N
Star Flyer,7G,SFJ,STARFLYER,Japan,Y
Safair,FA,SFR,CARGO,South Africa,N
Skagway Air Service,N5,SGY,SKAGWAY AIR,United States,Y
SATA Air Acores,SP,SAT,SATA,Portugal,Y
Singapore Airlines,SQ,SIA,SINGAPORE,Singapore,Y
Sibaviatrans,5M,SIB,SIBAVIA,Russia,Y
Skynet Airlines,SI,SIH,BLUEJET,Ireland,Y
SITA,XS,SIT,,Belgium,N
Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia,Y
Sama Airlines,ZS,SMY,NAJIM,Saudi Arabia,Y
Singapore Airlines Cargo,SQ,SQC,SINGCARGO,Singapore,Y
Siem Reap Airways,FT,SRH,SIEMREAP AIR,Cambodia,Y
Sky Work Airlines,SX,SRK,SKYFOX,Switzerland,N
Swedline Express,SM,SRL,Starline,Sweden,N
South East Asian Airlines,DG,SRQ,SEAIR,Philippines,Y
SwedJet Airways,VD,BBB,BLACKBIRD,Sweden,N
Skyservice Airlines,5G,SSV,SKYTOUR,Canada,Y
Servicios de Transportes A,FS,STU,FUEGUINO,Argentina,Y
Sudan Airways,SD,SUD,SUDANAIR,Sudan,Y
Sun Air (Fiji),PI,SUF,SUNFLOWER,Fiji,N
Sun Air of Scandinavia,EZ,SUS,SUNSCAN,Denmark,N
Saudi Arabian Airlines,SV,SVA,SAUDIA,Saudi Arabia,Y
Southwest Airlines,WN,SWA,SOUTHWEST,United States,Y
Southern Winds Airlines,A4,SWD,SOUTHERN WINDS,Argentina,Y
Sunwing Airlines,WG,SWG,SUNWING,Canada,N
Swiss International Air Lines,LX,SWR,SWISS,Switzerland,Y
Swissair,SR,SWR,Swissair,Switzerland,Y
Swe Fly,WV,SWV,FLYING SWEDE,Sweden,Y
Shovkoviy Shlyah,S8,SWW,WAY AERO,Ukraine,N
SunExpress,XQ,SXS,SUNEXPRESS,Turkey,Y
Syrian Arab Airlines,RB,SYR,SYRIANAIR,Syrian Arab Republic,Y
Skywalk Airlines,AL,SYX,SKYWAY-EX,United States,Y
Silk Way Airlines,ZP,AZQ,SILK LINE,Azerbaijan,N
Samara Airlines,E5,BRZ,BERYOZA,Russia,N
Shandong Airlines,SC,CDG,SHANDONG,China,Y
Spring Airlines,9S,CQH,AIR SPRING,China,Y
Sichuan Airlines,3U,CSC,SI CHUAN,China,Y
Shanghai Airlines,FM,CSH,SHANGHAI AIR,China,Y
Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China,Y
Shanxi Airlines,8C,CXI,SHANXI,China,N
Sun D'Or,7L,ERO,ECHO ROMEO,Israel,Y
SkyEurope,NE,ESK,RELAX,Slovakia,Y
Sunshine Express Airlines,CQ,EXL,,Australia,N
Superior Aviation,SO,HKA,SPEND AIR,United States,N
Spanair,JK,JKK,SPANAIR,Spain,Y
San Juan Airlines,2G,MRR,MARINER,United States,N
Spirit Airlines,NK,NKS,SPIRIT WINGS,United States,Y
SATENA,9R,NSE,SATENA,Colombia,Y
Slok Air Gambia,S0,OKS,SLOK GAMBIA,Gambia,N
Sosoliso Airlines,SO,OSL,SOSOLISO,Nigeria,N
Sky Trek International Airlines,1I,PZR,PHAZER,United States,N
Skybus Airlines,SX,SKB,SKYBUS,United States,N
SkyKing Turks and Caicos Airways,RU,SKI,SKYKING,Turks and Caicos Islands,N
Santa Barbara Airlines,S3,BBR,SANTA BARBARA,Venezuela,Y
Sky Airline,H2,SKU,AEROSKY,Chile,Y
SkyWest,OO,SKW,SKYWEST,United States,Y
Skyways Express,JZ,SKX,SKY EXPRESS,Sweden,Y
Skymark Airlines,BC,SKY,SKYMARK,Japan,Y
Sierra National Airlines,LJ,SLA,SELAIR,Sierra Leone,N
SilkAir,MI,SLK,SILKAIR,Singapore,Y
Slovak Airlines,6Q,SLL,SLOV LINE,Slovakia,N
Surinam Airways,PY,SLM,SURINAM,Suriname,Y
Sterling Airlines,NB,SNB,STERLING,Denmark,Y
Skynet Asia Airways,6J,SNJ,NEWSKY,Japan,Y
Solomon Airlines,IE,SOL,SOLOMON,Solomon Islands,Y
Saratov Aviation Division,6W,SOV,SARATOV AIR,Russia,Y
Sat Airlines,HZ,SOZ,SATCO,Kazakhstan,Y
Shuttle America,S5,TCF,MERCURY,United States,Y
Scat Air,DV,VSV,VLASTA,Kazakhstan,Y
TAME,EQ,TAE,TAME,Ecuador,Y
TAM Brazilian Airlines,JJ,TAM,TAM,Brazil,Y
TAP Portugal,TP,TAP,AIR PORTUGAL,Portugal,Y
Tunisair,TU,TAR,TUNAIR,Tunisia,Y
TNT Airways,3V,TAY,QUALITY,Belgium,N
Tropical Airways,M7,TBG,,Haiti,N
Thai Air Cargo,T2,TCG,THAI CARGO,Thailand,Y
Thomas Cook Airlines,FQ,TCW,THOMAS COOK,Belgium,Y
Thomas Cook Airlines,MT,TCX,KESTREL,United Kingdom,Y
Tandem Aero,TQ,TDM,TANDEM,Moldova,N
Teamline Air,L9,TLW,Teamline,Austria,N
Transeuropean Airlines,UE,TEP,TRANSEURLINE,Russia,N
Titan Airways,ZT,AWC,ZAP,United Kingdom,N
Tiger Airways,TR,TGW,GO CAT,Singapore,Y
Tiger Airways Australia,TT,TGW,GO CAT,Australia,Y
Thai Airways International,TG,THA,THAI,Thailand,Y
Thai AirAsia,FD,AIQ,THAI ASIA,Thailand,Y
Turkish Airlines,TK,THY,TURKAIR,Turkey,Y
Twin Jet,T7,TJT,TWINJET,France,Y
Thai Sky Airlines,9I,TKY,THAI SKY,Thailand,N
Tulip Air,TD,TLP,TULIPAIR,Netherland,N
Trans Mediterranean Airlines,TL,TMA,TANGO LIMA,Lebanon,Y
Tri-MG Intra Asia Airlines,GY,TMG,TRILINES,Indonesia,N
Tiara Air,3P,TNM,TIARA,Aruba,Y
Tobruk Air,7T,TOB,TOBRUK AIR,Libya,N
Tol-Air Services,TI,TOL,TOL AIR,United States,N
Thomsonfly,BY,TOM,TOMSON,United Kingdom,Y
Tropic Air,PM,TOS,TROPISER,Belize,Y
Tower Air,FF,TOW,TEE AIR,United States,N
TAMPA,QT,TPA,TAMPA,Colombia,Y
TransAsia Airways,GE,TNA,TransAsia,Taiwan,Y
